trip,type,direction,stop|苹果园|0103|0|1|A|1,stop|苹果园|0103|0|1|D|1,stop|古城路|0104|40|1|A|2,stop|古城路|0104|40|1|D|2,stop|八角游乐园|0105|80|1|A|3,stop|八角游乐园|0105|80|1|D|3,stop|八宝山|0106|120|1|A|4,stop|八宝山|0106|120|1|D|4,stop|玉泉路|0107|160|1|A|5,stop|玉泉路|0107|160|1|D|5,stop|五棵松|0108|200|1|A|6,stop|五棵松|0108|200|1|D|6,stop|万寿路|0109|240|1|A|7,stop|万寿路|0109|240|1|D|7,stop|公主坟（1号线）|0110|280|1|A|8,stop|公主坟（1号线）|0110|280|1|D|8,stop|军事博物馆（1号线）|0111|320|1|A|9,stop|军事博物馆（1号线）|0111|320|1|D|9,stop|木樨地|0112|360|1|A|10,stop|木樨地|0112|360|1|D|10,stop|南礼士路|0113|400|1|A|11,stop|南礼士路|0113|400|1|D|11,stop|复兴门（1号线）|0114|440|1|A|12,stop|复兴门（1号线）|0114|440|1|D|12,stop|西单（1号线）|0115|480|1|A|13,stop|西单（1号线）|0115|480|1|D|13,stop|天安门西|0116|520|1|A|14,stop|天安门西|0116|520|1|D|14,stop|天安门东|0117|560|1|A|15,stop|天安门东|0117|560|1|D|15,stop|王府井|0118|600|1|A|16,stop|王府井|0118|600|1|D|16,stop|东单（1号线）|0119|640|1|A|17,stop|东单（1号线）|0119|640|1|D|17,stop|建国门（1号线）|0120|680|1|A|18,stop|建国门（1号线）|0120|680|1|D|18,stop|永安里|0121|720|1|A|19,stop|永安里|0121|720|1|D|19,stop|国贸（1号线）|0122|760|1|A|20,stop|国贸（1号线）|0122|760|1|D|20,stop|大望路|0123|800|1|A|21,stop|大望路|0123|800|1|D|21,stop|四惠（1号线）|0124|840|1|A|22,stop|四惠（1号线）|0124|840|1|D|22,stop|四惠东（1号线）|0125|880|1|A|23,stop|四惠东（1号线）|0125|880|1|D|23
2061,REAL,2,20140702072645,20140702072745,20140702073155,20140702073155,20140702073455,20140702073455,20140702073750,20140702073750,20140702073950,20140702074025,20140702074245,20140702074325,20140702074535,20140702074610,20140702074750,20140702074835,20140702075015,20140702075105,20140702075245,20140702075315,20140702075515,20140702075542,20140702075702,20140702075749,20140702075949,20140702080034,20140702080204,20140702080230,20140702080400,20140702080428,20140702080558,20140702080628,20140702080748,20140702080831,20140702081021,20140702081100,20140702081300,20140702081330,20140702081440,20140702081525,20140702081725,20140702081755,20140702082025,20140702082055,20140702082325,20140702082425
2062,REAL,2,20140702072850,20140702072950,20140702073330,20140702073400,20140702073630,20140702073700,20140702073930,20140702073955,20140702074155,20140702074230,20140702074450,20140702074530,20140702074740,20140702074815,20140702074955,20140702075040,20140702075220,20140702075310,20140702075450,20140702075520,20140702075720,20140702075747,20140702075907,20140702075954,20140702080154,20140702080239,20140702080409,20140702080435,20140702080605,20140702080633,20140702080803,20140702080833,20140702080953,20140702081036,20140702081226,20140702081305,20140702081505,20140702081535,20140702081645,20140702081730,20140702081930,20140702082000,20140702082230,20140702082300,20140702082530,20140702082630
2063,REAL,2,20140702073055,20140702073155,20140702073535,20140702073605,20140702073835,20140702073905,20140702074135,20140702074200,20140702074400,20140702074435,20140702074655,20140702074735,20140702074945,20140702075020,20140702075200,20140702075245,20140702075425,20140702075515,20140702075655,20140702075725,20140702075925,20140702075952,20140702080112,20140702080159,20140702080359,20140702080444,20140702080614,20140702080640,20140702080810,20140702080838,20140702081008,20140702081038,20140702081158,20140702081241,20140702081431,20140702081510,20140702081710,20140702081740,20140702081850,20140702081935,20140702082135,20140702082205,20140702082435,20140702082505,20140702082735,20140702082835
2064,REAL,2,20140702073300,20140702073400,20140702073740,20140702073810,20140702074040,20140702074110,20140702074340,20140702074405,20140702074605,20140702074640,20140702074900,20140702074940,20140702075150,20140702075225,20140702075405,20140702075450,20140702075630,20140702075720,20140702075900,20140702075930,20140702080130,20140702080157,20140702080317,20140702080404,20140702080604,20140702080649,20140702080819,20140702080845,20140702081015,20140702081043,20140702081213,20140702081243,20140702081403,20140702081446,20140702081636,20140702081715,20140702081915,20140702081945,20140702082055,20140702082140,20140702082340,20140702082410,20140702082640,20140702082710,20140702082940,20140702083040
2065,REAL,2,20140702073505,20140702073605,20140702074015,20140702074015,20140702074315,20140702074315,20140702074610,20140702074610,20140702074810,20140702074845,20140702075105,20140702075145,20140702075355,20140702075430,20140702075610,20140702075655,20140702075835,20140702075925,20140702080105,20140702080135,20140702080335,20140702080402,20140702080522,20140702080609,20140702080809,20140702080854,20140702081024,20140702081050,20140702081220,20140702081248,20140702081418,20140702081448,20140702081608,20140702081651,20140702081841,20140702081920,20140702082120,20140702082150,20140702082300,20140702082345,20140702082545,20140702082615,20140702082845,20140702082915,20140702083145,20140702083245
2066,REAL,2,20140702073710,20140702073810,20140702074150,20140702074220,20140702074450,20140702074520,20140702074750,20140702074815,20140702075015,20140702075050,20140702075310,20140702075350,20140702075600,20140702075635,20140702075815,20140702075900,20140702080040,20140702080130,20140702080310,20140702080340,20140702080540,20140702080607,20140702080727,20140702080814,20140702081014,20140702081059,20140702081229,20140702081255,20140702081425,20140702081453,20140702081623,20140702081653,20140702081813,20140702081856,20140702082046,20140702082125,20140702082325,20140702082355,20140702082505,20140702082550,20140702082750,20140702082820,20140702083050,20140702083120,20140702083350,20140702083450
2067,REAL,2,20140702073915,20140702074015,20140702074355,20140702074425,20140702074655,20140702074725,20140702074955,20140702075020,20140702075220,20140702075255,20140702075515,20140702075555,20140702075805,20140702075840,20140702080020,20140702080105,20140702080245,20140702080335,20140702080515,20140702080545,20140702080745,20140702080812,20140702080932,20140702081019,20140702081219,20140702081304,20140702081434,20140702081500,20140702081630,20140702081658,20140702081828,20140702081858,20140702082018,20140702082101,20140702082251,20140702082330,20140702082530,20140702082600,20140702082710,20140702082755,20140702082955,20140702083025,20140702083255,20140702083325,20140702083555,20140702083655
2068,REAL,2,20140702074120,20140702074220,20140702074600,20140702074630,20140702074900,20140702074930,20140702075200,20140702075225,20140702075425,20140702075500,20140702075720,20140702075800,20140702080010,20140702080045,20140702080225,20140702080310,20140702080450,20140702080540,20140702080720,20140702080750,20140702080950,20140702081017,20140702081137,20140702081224,20140702081424,20140702081509,20140702081639,20140702081705,20140702081835,20140702081903,20140702082033,20140702082103,20140702082223,20140702082306,20140702082456,20140702082535,20140702082735,20140702082805,20140702082915,20140702083000,20140702083200,20140702083230,20140702083500,20140702083530,20140702083800,20140702083900
2069,REAL,2,20140702074325,20140702074425,20140702074835,20140702074835,20140702075135,20140702075135,20140702075430,20140702075430,20140702075630,20140702075705,20140702075925,20140702080005,20140702080215,20140702080250,20140702080430,20140702080515,20140702080655,20140702080745,20140702080925,20140702080955,20140702081155,20140702081222,20140702081342,20140702081429,20140702081629,20140702081714,20140702081844,20140702081910,20140702082040,20140702082108,20140702082238,20140702082308,20140702082428,20140702082511,20140702082701,20140702082740,20140702082940,20140702083010,20140702083120,20140702083205,20140702083405,20140702083435,20140702083705,20140702083735,20140702084005,20140702084105
2070,REAL,2,20140702074530,20140702074630,20140702075010,20140702075040,20140702075310,20140702075340,20140702075610,20140702075635,20140702075835,20140702075910,20140702080130,20140702080210,20140702080420,20140702080455,20140702080635,20140702080720,20140702080900,20140702080950,20140702081130,20140702081200,20140702081400,20140702081427,20140702081547,20140702081634,20140702081834,20140702081919,20140702082049,20140702082115,20140702082245,20140702082313,20140702082443,20140702082513,20140702082633,20140702082716,20140702082906,20140702082945,20140702083145,20140702083215,20140702083325,20140702083410,20140702083610,20140702083640,20140702083910,20140702083940,20140702084210,20140702084310
